2607	50	2523	5285	7583	9871	12110	13675	15583	17871	3717	3448	4063	904	1627	1539	4776	4675	3746	6282	6551	5936	9095	8372	8874	12389	11844	11950	15079	13994	15059	15813	15768	15539	18776	18675	17746	
3995	1347	3576	5844	8419	10925	13164	14454	16419	18925	5105	4836	5451	575	619	151	5829	5729	4799	5133	5163	5112	10148	9425	9927	11000	10729	10562	16133	15048	16112	15148	14425	14151	19829	19729	18799	
7043	4549	2077	3715	6013	7812	9796	12105	14013	15812	5287	5605	5633	5505	6228	5726	181	725	854	4712	4981	4366	4494	3771	4273	10818	10274	10380	10478	9981	10458	14243	14198	13969	14175	14074	13380	
6588	4094	1621	3986	6284	8084	10067	12376	14284	16084	5015	5150	5361	5049	5772	5270	631	530	398	4984	5253	4638	4950	4227	4729	11090	10545	10652	10934	10253	10914	14514	14469	14240	14631	14530	13652	
7525	5031	2559	4152	6450	8250	10234	12542	14450	16250	5002	6087	5195	5987	6710	6208	306	406	1336	5150	5419	4804	4012	3636	4407	11256	10712	10818	10150	10419	9976	14680	14636	14407	14256	13712	13818	
5813	3319	847	3248	5546	7345	9329	11638	13546	15345	5754	5485	6100	4275	4998	4496	1405	1305	1086	4245	4514	3899	5724	5001	5503	10351	9807	9913	11709	10624	11688	13776	13731	13502	15405	15305	14375	
5000	2351	851	3119	5694	8199	10439	11729	13694	16199	6109	5840	6455	2576	3299	2797	3104	3004	2074	3890	4159	3544	7423	6700	7202	9996	9451	9558	13408	12323	13387	13420	13376	13146	17104	17004	16074	
6000	3351	1001	2119	4694	7199	9439	10729	12694	15199	7109	6840	7455	3576	4299	3797	2104	2548	2441	2890	3159	2544	6423	5700	6202	8996	8451	8558	12408	11323	12387	12420	12376	12146	16104	16004	15074	
8165	5516	3166	976	3551	6056	8296	9586	11551	14056	9274	9005	9620	4744	5442	4940	4168	4713	4606	725	994	379	5280	4557	5059	6831	6286	6393	11265	10180	11244	10280	10211	9982	14961	14861	13931	
7414	4765	2415	478	2849	5355	7594	8884	10849	13355	8523	8254	8869	5421	6144	5642	3417	3962	3855	1476	1745	1130	4578	3855	4357	7582	7037	7144	10563	9478	10542	11006	10962	10732	14260	14159	13229	
7620	4971	2621	272	2837	5343	7582	8872	10837	13343	8729	8460	9075	5433	6155	5654	3623	4168	4061	1270	1539	924	4566	3844	4345	7376	6831	6938	10551	9466	10530	10800	10755	10526	14248	14147	13217	
11043	8549	6077	3810	2013	3812	5796	8105	10013	11812	9287	9605	9633	9505	10228	9726	4181	4725	4854	4521	5605	4541	756	801	273	6818	6274	6380	6478	5981	6458	10243	10198	9969	10175	10074	9380	
10588	8094	5621	3354	2284	4084	6067	8376	10284	12084	9015	9150	9361	9049	9772	9270	3909	4454	4398	4065	5150	4085	950	530	729	7090	6545	6652	6934	6253	6914	10514	10469	10240	10631	10530	9652	
11525	9031	6559	4291	2450	4250	6234	8542	10450	12250	9002	10087	9195	9987	10710	10208	4306	4406	5336	5002	6087	5023	319	710	407	7256	6712	6818	6150	6419	5976	10680	10636	10407	10256	9712	9818	
7873	5224	2875	1102	3677	6183	8422	9712	11677	14183	8983	8714	9329	4593	5315	4813	3877	4421	4315	1016	1285	670	5406	4684	5186	7122	6578	6684	11391	10306	11370	10547	10502	10273	15088	14987	14057	
8299	5651	3301	1261	3836	6342	8581	9871	11836	14342	9409	9140	9755	4879	5156	4654	4303	4847	4741	590	859	529	5566	4843	5345	6696	6152	6258	11550	10465	11529	10566	10076	9847	15247	15146	14216	
7396	4747	2398	556	3131	5637	7876	9166	11131	13637	8506	8237	8851	5138	5861	5359	3399	3944	3838	1493	1762	1148	4861	4138	4640	7600	7055	7161	10845	9760	10824	11024	10979	10750	14542	14441	13511	
8789	6140	3790	1172	3747	6253	8492	9782	11747	14253	9898	9629	10244	5368	5412	4743	4792	5337	5230	461	623	441	5477	4754	5256	6207	6057	5769	11461	10376	11441	10477	9754	9357	15158	15057	14128	
7607	4958	2609	285	2583	4871	7110	8675	10583	12871	8717	8448	9063	5904	6627	6125	3610	4155	4049	1282	2005	940	4095	3372	3874	7389	6844	6950	10079	8994	10059	10813	10768	10539	13776	13675	12746	
8995	6347	3997	1102	3419	5925	8164	9454	11419	13925	10105	9836	10451	5575	5619	5072	4999	5543	5437	133	951	451	5148	4425	4927	6000	5729	5562	11133	10048	11112	10148	9425	9151	14829	14729	13799	
11043	8549	6077	3810	2013	3812	5796	8105	10013	11812	9287	9605	9633	9505	10228	9726	4181	4725	4854	4521	5605	4541	756	801	273	6818	6274	6380	6478	5981	6458	10243	10198	9969	10175	10074	9380	
11255	8761	6288	4021	1617	3417	5400	7709	9617	11417	9682	9817	10028	9716	10439	9937	4576	5121	5065	4732	5817	4752	1152	1197	426	6423	5878	5985	6267	5586	6247	9847	9802	9573	9964	9863	8985	
11525	9031	6559	4291	2450	4250	6234	8542	10450	12250	9002	10087	9195	9987	10710	10208	4306	4406	5336	5002	6087	5023	319	710	407	7256	6712	6818	6150	6419	5976	10680	10636	10407	10256	9712	9818	
12813	10319	7847	5579	3004	499	2329	4638	6546	8345	12754	12485	13100	11275	11998	11496	7648	8192	8086	6290	7375	6311	4223	4268	3497	3351	2807	2913	4709	3624	4688	6776	6731	6502	8405	8305	7375	
14000	11351	9001	6107	3809	2009	1439	2729	4694	7199	15109	14840	15455	11576	12299	11797	10003	10548	10441	6591	7676	6612	6579	6623	5853	996	995	1925	4408	3323	4387	4420	4376	4146	8104	8004	7074	
15000	12351	10001	7107	4809	3009	1026	1729	3694	6199	16109	15840	16455	12576	13299	12797	11003	11548	11441	7591	8676	7612	7579	7623	6853	1895	1995	2925	3408	2323	3387	3420	3376	3146	7104	7004	6074	
17165	14516	12166	9272	6974	5174	3190	882	2551	5056	18274	18005	18620	13744	14442	13940	13168	13713	13606	8734	9819	8755	9744	9788	9017	3038	3138	4068	3274	3005	3620	1280	1211	982	5961	5861	4931	
16414	13765	11415	8725	6223	4423	2440	131	1849	4355	17523	17254	17869	14421	15144	14642	12417	12962	12855	9436	10521	9457	8993	9037	8267	3739	3840	4770	2523	2254	2869	2006	1962	1732	5260	5159	4229	
17620	14971	12621	9737	7429	5629	3646	1337	837	3343	18729	18460	19075	15433	16155	15654	13623	14168	14061	10448	11533	10469	10199	10244	9473	4751	4852	5782	3729	3460	4075	800	1155	1654	4248	4147	3217	
21043	18549	16077	13810	11234	8729	6489	5200	3234	1812	19287	19605	19633	19505	20228	19726	14181	14725	14854	14521	15605	14541	10756	10801	10030	8824	8925	9854	4287	4605	4633	4505	5228	5726	181	725	854	

Travel time between bus stops in seconds: 
0	238	449	710	917	1108	1309	1465	1637	1828	227	129	225	307	303	373	649	640	557	800	824	769	1038	973	1018	1349	1300	1310	1577	1479	1575	1657	1653	1633	1909	1900	1817	
238	0	222	471	678	883	1085	1227	1398	1603	338	314	369	85	151	134	425	416	332	561	585	530	814	748	794	1111	1062	1071	1352	1254	1350	1419	1415	1394	1685	1676	1592	
449	222	0	260	467	661	862	1015	1187	1381	549	525	580	308	373	328	202	193	129	350	374	319	591	526	571	899	850	860	1130	1032	1128	1207	1203	1183	1462	1453	1370	
710	471	260	0	231	457	658	774	951	1177	810	786	841	512	577	532	350	399	390	89	161	65	387	322	367	639	590	599	926	828	924	947	943	922	1258	1249	1165	
917	678	467	231	0	225	427	548	719	945	1017	992	1048	744	809	764	557	606	596	295	393	297	249	253	183	432	383	393	694	596	692	740	736	716	1026	1017	934	
1108	883	661	457	225	0	201	386	558	719	1179	1154	1210	969	1034	989	719	768	758	521	618	523	411	415	345	270	221	231	468	371	466	578	574	554	801	792	708	
1309	1085	862	658	427	201	0	207	379	541	1357	1333	1388	1171	1236	1191	897	946	937	722	820	724	589	593	524	210	219	302	267	169	265	400	396	375	599	590	507	
1465	1227	1015	774	548	386	207	0	176	402	1565	1541	1596	1287	1352	1307	1105	1154	1145	838	936	840	797	801	732	326	335	418	215	191	246	192	188	167	483	474	391	
1637	1398	1187	951	719	558	379	176	0	225	1737	1712	1768	1464	1529	1484	1277	1326	1316	1015	1113	1017	969	973	903	503	512	595	387	362	418	114	179	224	306	297	214	
1828	1603	1381	1177	945	719	541	402	225	0	1899	1874	1930	1689	1754	1709	1439	1488	1478	1241	1338	1243	1131	1135	1065	728	737	821	549	524	580	339	404	449	179	228	218	
227	338	549	810	1017	1179	1357	1565	1737	1899	0	97	31	407	403	473	459	413	420	899	924	868	811	763	833	1449	1400	1410	1349	1374	1348	1757	1753	1733	1719	1673	1680	
129	314	525	786	992	1154	1333	1541	1712	1874	97	0	95	383	379	448	520	511	427	875	899	844	909	843	889	1425	1376	1385	1447	1349	1445	1733	1729	1708	1780	1771	1687	
225	369	580	841	1048	1210	1388	1596	1768	1930	31	95	0	438	434	504	490	441	451	931	955	899	813	794	864	1480	1431	1441	1381	1405	1349	1788	1784	1764	1750	1701	1711	
307	85	308	512	744	969	1171	1287	1464	1689	407	383	438	0	65	65	511	502	418	492	516	461	899	834	880	1041	992	1002	1438	1340	1436	1349	1345	1325	1771	1762	1678	
303	151	373	577	809	1034	1236	1352	1529	1754	403	379	434	65	0	69	576	567	483	513	520	511	965	899	945	1045	1017	1006	1503	1406	1501	1415	1349	1329	1836	1827	1743	
373	134	328	532	764	989	1191	1307	1484	1709	473	448	504	65	69	0	531	522	438	468	451	466	919	854	899	981	972	937	1458	1360	1456	1369	1304	1259	1791	1782	1698	
649	425	202	350	557	719	897	1105	1277	1439	459	520	490	511	576	531	0	49	92	440	464	409	388	323	373	989	940	950	927	914	925	1298	1294	1273	1259	1250	1220	
640	416	193	399	606	768	946	1154	1326	1488	413	511	441	502	567	522	49	0	83	489	513	458	397	353	422	1039	989	999	939	963	934	1347	1343	1322	1309	1259	1269	
557	332	129	390	596	758	937	1145	1316	1478	420	427	451	418	483	438	92	83	0	479	504	448	481	416	461	1029	980	989	1020	954	1018	1337	1333	1312	1352	1343	1259	
800	561	350	89	295	521	722	838	1015	1241	899	875	931	492	513	468	440	489	479	0	97	31	451	386	431	549	503	510	989	892	988	901	853	833	1322	1313	1229	
824	585	374	161	393	618	820	936	1113	1338	924	899	955	516	520	451	464	513	504	97	0	95	549	483	529	610	601	517	1087	989	1085	999	933	889	1420	1411	1327	
769	530	319	65	297	523	724	840	1017	1243	868	844	899	461	511	466	409	458	448	31	95	0	453	388	433	580	531	541	991	894	989	903	884	864	1324	1315	1231	
1038	814	591	387	249	411	589	797	969	1131	811	909	813	899	965	919	388	397	481	451	549	453	0	65	65	681	632	642	582	606	551	989	985	965	951	902	912	
973	748	526	322	253	415	593	801	973	1135	763	843	794	834	899	854	323	353	416	386	483	388	65	0	69	685	636	646	603	610	601	994	989	969	955	927	916	
1018	794	571	367	183	345	524	732	903	1065	833	889	864	880	945	899	373	422	461	431	529	433	65	69	0	616	567	577	558	541	556	924	920	899	891	882	847	
1349	1111	899	639	432	270	210	326	503	728	1449	1425	1480	1041	1045	981	989	1039	1029	549	610	580	681	685	616	0	49	92	477	379	475	388	323	283	809	800	717	
1300	1062	850	590	383	221	219	335	512	737	1400	1376	1431	992	1017	972	940	989	980	503	601	531	632	636	567	49	0	83	486	388	484	397	353	332	819	809	726	
1310	1071	860	599	393	231	302	418	595	821	1410	1385	1441	1002	1006	937	950	999	989	510	517	541	642	646	577	92	83	0	570	472	568	481	416	371	902	893	809	
1577	1352	1130	926	694	468	267	215	387	549	1349	1447	1381	1438	1503	1458	927	939	1020	989	1087	991	582	603	558	477	486	570	0	97	31	407	403	383	369	323	330	
1479	1254	1032	828	596	371	169	191	362	524	1374	1349	1405	1340	1406	1360	914	963	954	892	989	894	606	610	541	379	388	472	97	0	95	383	379	358	430	421	337	
1575	1350	1128	924	692	466	265	246	418	580	1348	1445	1349	1436	1501	1456	925	934	1018	988	1085	989	551	601	556	475	484	568	31	95	0	438	434	414	400	351	361	
1657	1419	1207	947	740	578	400	192	114	339	1757	1733	1788	1349	1415	1369	1298	1347	1337	901	999	903	989	994	924	388	397	481	407	383	438	0	65	109	421	412	328	
1653	1415	1203	943	736	574	396	188	179	404	1753	1729	1784	1345	1349	1304	1294	1343	1333	853	933	884	985	989	920	323	353	416	403	379	434	65	0	44	486	477	393	
1633	1394	1183	922	716	554	375	167	224	449	1733	1708	1764	1325	1329	1259	1273	1322	1312	833	889	864	965	969	899	283	332	371	383	358	414	109	44	0	531	522	438	
1909	1685	1462	1258	1026	801	599	483	306	179	1719	1780	1750	1771	1836	1791	1259	1309	1352	1322	1420	1324	951	955	891	809	819	902	369	430	400	421	486	531	0	49	92	
1900	1676	1453	1249	1017	792	590	474	297	228	1673	1771	1701	1762	1827	1782	1250	1259	1343	1313	1411	1315	902	927	882	800	809	893	323	421	351	412	477	522	49	0	83	
1817	1592	1370	1165	934	708	507	391	214	218	1680	1687	1711	1678	1743	1698	1220	1269	1259	1229	1327	1231	912	916	847	717	726	809	330	337	361	328	393	438	92	83	0	
